User_Id,Exercise_Id,Rated,Liked,Performed,Duration,Timestamp
User_1,85,1,0,1,61,2025-01-01 23:45:06
User_1,55,0,0,1,79,2025-01-20 02:41:20
User_1,315,1,0,1,76,2025-01-24 21:52:35
User_1,138,1,0,1,40,2025-01-09 16:36:33
User_1,197,0,1,1,42,2025-01-01 08:19:21
User_1,11,0,0,1,102,2025-01-11 07:17:30
User_1,312,1,1,0,106,2025-01-10 19:07:30
User_2,300,0,1,1,98,2025-01-09 19:41:39
User_2,98,1,1,0,85,2025-01-05 09:26:03
User_2,78,0,0,1,55,2025-01-09 06:59:39
User_2,279,1,1,0,73,2025-01-03 21:52:53
User_2,258,1,1,0,18,2025-01-08 23:14:36
User_2,236,0,1,0,44,2025-01-13 14:49:17
User_2,305,0,0,1,97,2025-01-08 22:48:04
User_2,174,1,1,1,59,2025-01-13 06:20:08
User_2,297,1,0,0,67,2025-01-08 11:07:57
User_2,139,1,0,0,110,2025-01-08 16:35:40
User_2,51,1,0,0,57,2025-01-01 19:10:00
User_2,280,1,0,1,103,2025-01-09 00:49:59
User_3,457,1,1,1,115,2025-01-16 15:10:37
User_3,49,0,1,1,107,2025-01-08 08:41:12
User_3,271,0,0,1,23,2025-01-06 12:10:17
User_3,177,0,0,1,66,2025-01-16 02:26:53
User_3,72,0,0,0,32,2025-01-14 11:54:01
User_3,69,1,1,1,98,2025-01-20 00:13:34
User_3,228,1,1,1,84,2025-01-25 03:21:45
User_3,9,0,0,0,74,2025-01-11 09:14:20
User_3,96,0,1,0,108,2025-01-25 11:25:47
User_4,96,0,1,0,42,2025-01-15 11:46:28
User_4,91,0,1,1,21,2025-01-21 12:44:00
User_4,332,1,1,1,48,2025-01-03 02:30:51
User_4,6,0,0,1,74,2025-01-17 16:34:35
User_4,73,1,0,1,75,2025-01-24 08:08:17
User_4,151,0,1,0,26,2025-01-04 13:28:50
User_4,121,1,1,1,95,2025-01-03 18:57:13
User_4,106,0,1,1,71,2025-01-18 22:22:58
User_4,444,0,0,0,34,2025-01-04 19:13:56
User_4,162,1,1,0,40,2025-01-03 11:11:31
User_4,347,1,1,1,14,2025-01-25 21:52:45
User_4,246,1,1,1,31,2025-01-19 10:22:27
User_4,463,1,0,1,86,2025-01-05 21:21:36
User_5,160,0,0,0,39,2025-01-21 10:28:57
User_5,313,0,1,1,108,2025-01-12 23:04:46
User_5,269,1,0,1,28,2025-01-18 12:42:09
User_5,73,1,1,1,28,2025-01-01 22:28:35
User_5,393,1,1,1,63,2025-01-17 13:18:28
User_5,149,1,0,1,82,2025-01-26 06:58:02
User_5,445,1,1,1,47,2025-01-26 08:06:42
User_5,189,1,1,0,33,2025-01-04 15:21:54
User_5,5,0,0,0,101,2025-01-08 21:34:19
User_5,102,0,0,0,116,2025-01-14 11:21:56
User_6,51,0,1,1,27,2025-01-19 05:00:37
User_6,92,1,1,1,26,2025-01-06 03:39:03
User_6,435,1,0,1,108,2025-01-11 16:17:07
User_6,89,1,1,1,51,2025-01-10 12:57:48
User_6,426,1,1,1,96,2025-01-20 18:55:36
User_6,123,1,0,0,101,2025-01-21 15:36:52
User_7,461,1,0,1,77,2025-01-12 15:55:37
User_7,311,0,1,1,64,2025-01-16 01:56:04
User_7,174,0,0,0,27,2025-01-26 07:38:25
User_7,332,0,0,0,116,2025-01-10 05:21:38
User_7,264,0,0,0,80,2025-01-07 23:43:27
