User_Id,Meal_Id,Rated,Liked,Searched,Purchased,Timestamp
19,3,1,0,0,0,2020-03-01 12:03:24
69,7,0,1,0,0,2020-03-04 00:20:24
20,9,1,0,0,1,2020-03-05 14:31:10
96,10,0,0,1,1,2020-03-05 22:33:26
63,20,0,0,1,1,2020-03-07 06:42:30
63,21,0,1,0,1,2020-03-07 14:44:46
91,28,0,1,0,1,2020-03-09 10:57:14
31,29,1,0,0,1,2020-03-09 16:58:56
25,30,0,0,1,0,2020-03-10 01:01:12
89,24,1,0,0,1,2020-03-12 21:20:28
29,34,0,0,1,1,2020-03-17 11:51:38
37,43,1,0,0,1,2020-03-17 17:53:20
70,46,0,0,1,0,2020-03-18 07:57:18
72,47,1,0,0,1,2020-03-18 13:59:00
25,50,1,0,0,1,2020-03-18 20:00:42
49,51,0,1,0,0,2020-03-19 16:06:22
94,6,0,0,1,0,2020-03-21 04:16:34
26,53,1,0,0,1,2020-03-21 12:18:50
81,17,0,0,1,1,2020-03-21 18:20:32
28,18,0,1,0,1,2020-03-21 20:21:06
63,19,0,1,0,1,2020-03-22 20:27:54
74,57,0,1,0,1,2020-03-23 10:31:52
46,58,0,0,1,1,2020-03-23 12:32:26
70,59,0,0,1,1,2020-03-23 20:34:42
55,66,0,0,1,1,2020-03-25 06:44:20
36,33,0,1,0,1,2020-03-26 04:50:34
82,70,0,1,0,1,2020-03-26 10:52:16
91,71,1,0,0,1,2020-03-28 03:03:36
97,73,0,0,1,1,2020-03-29 03:10:24
48,74,1,0,0,1,2020-03-29 05:10:58
1,122,1,1,0,0,2025-01-08 03:23:28
1,84,0,0,1,0,2025-01-09 02:30:34
1,193,0,0,0,0,2025-01-09 18:10:27
1,209,1,1,0,0,2025-01-09 07:37:22
1,237,1,0,0,1,2025-01-08 16:51:27
1,301,0,1,0,1,2025-01-26 05:52:36
1,119,1,0,1,1,2025-01-06 13:30:54
1,62,0,1,0,1,2025-01-04 02:20:16
1,64,0,1,0,0,2025-01-19 05:32:54
2,153,1,0,0,0,2025-01-10 14:06:27
2,67,0,0,0,1,2025-01-25 22:18:29
2,187,0,1,1,0,2025-01-15 20:29:42
2,152,1,0,1,1,2025-01-08 01:06:56
2,118,1,1,0,1,2025-01-19 04:00:03
2,91,1,0,1,0,2025-01-04 18:27:08
2,199,0,1,1,1,2025-01-07 07:41:07
2,237,0,1,1,0,2025-01-19 18:38:19
3,231,0,1,0,1,2025-01-02 06:32:47
3,233,1,1,0,0,2025-01-11 07:13:25
3,227,1,0,0,1,2025-01-10 23:57:04
3,129,0,0,0,1,2025-01-08 20:26:11
3,132,1,0,1,0,2025-01-26 05:58:34
3,171,0,1,0,0,2025-01-10 12:38:36
4,13,1,0,0,1,2025-01-01 17:27:31
4,132,1,0,0,1,2025-01-08 09:02:24
4,45,0,1,1,0,2025-01-18 00:04:41
4,180,1,0,1,1,2025-01-25 19:44:31
4,246,1,1,0,0,2025-01-09 06:35:29
4,121,1,0,1,0,2025-01-26 01:20:46
4,103,0,1,0,0,2025-01-16 10:27:08
4,148,1,1,0,0,2025-01-26 17:30:20
4,246,0,0,1,1,2025-01-09 19:30:10
5,151,1,0,1,1,2025-01-19 07:51:22
5,129,1,1,0,1,2025-01-26 18:33:41
5,211,1,0,1,0,2025-01-16 11:49:54
5,293,1,0,0,0,2025-01-05 15:12:45
5,157,1,1,1,0,2025-01-12 15:33:26
5,86,0,1,1,0,2025-01-18 04:51:02
5,51,1,1,1,0,2025-01-03 14:46:13
5,238,0,0,0,0,2025-01-13 14:23:50
5,275,0,1,0,1,2025-01-20 06:44:07
5,67,1,1,1,1,2025-01-26 17:02:25
6,57,1,0,1,1,2025-01-22 05:42:59
6,180,0,0,0,1,2025-01-04 10:47:37
6,172,0,0,1,1,2025-01-11 08:02:18
6,77,1,1,1,1,2025-01-26 17:28:32
6,252,1,0,1,0,2025-01-19 15:24:19
6,74,0,1,0,0,2025-01-11 03:54:13
6,304,1,1,0,0,2025-01-22 10:24:10
6,15,1,0,1,0,2025-01-21 17:40:18
6,14,0,0,1,0,2025-01-24 07:12:27
6,14,0,1,1,0,2025-01-20 07:19:55
6,212,0,1,0,1,2025-01-09 03:54:45
6,254,1,1,1,1,2025-01-14 23:23:58
6,88,1,1,0,0,2025-01-10 05:36:24
7,186,1,1,0,0,2025-01-10 14:45:57
7,261,1,1,0,0,2025-01-10 16:23:54
7,287,0,0,0,0,2025-01-12 14:51:41
7,279,1,0,1,1,2025-01-26 16:46:54
7,143,0,1,0,1,2025-01-26 06:13:04
7,299,0,0,1,1,2025-01-02 02:05:33
7,219,1,0,1,0,2025-01-04 10:30:45
8,91,0,0,1,1,2025-01-19 18:50:14
8,5,1,0,1,0,2025-01-11 18:23:00
8,296,1,1,0,1,2025-01-02 02:45:25
8,23,1,0,1,0,2025-01-19 02:05:09
8,271,0,1,1,0,2025-01-19 23:28:54
8,81,0,1,1,0,2025-01-03 09:26:19
8,170,0,1,1,1,2025-01-12 01:12:37
8,7,0,1,1,0,2025-01-11 00:52:07
8,249,0,1,1,0,2025-01-04 04:28:09
8,125,0,0,0,0,2025-01-13 00:31:23
8,218,0,1,0,1,2025-01-19 16:27:47
8,121,1,1,1,1,2025-01-15 06:21:18
8,256,1,1,1,1,2025-01-03 20:28:17
9,293,1,0,0,1,2025-01-05 13:32:08
9,53,0,0,0,0,2025-01-08 08:01:44
9,277,0,0,1,1,2025-01-11 03:43:41
9,140,0,0,1,1,2025-01-21 02:43:05
9,40,1,0,0,0,2025-01-17 18:01:01
9,128,0,1,0,1,2025-01-21 02:38:53
9,209,1,1,0,0,2025-01-12 12:04:25
9,77,0,0,0,1,2025-01-16 09:28:33
9,130,1,0,1,1,2025-01-15 03:11:55
9,68,1,1,1,0,2025-01-13 05:59:25
9,134,0,0,0,1,2025-01-06 04:13:03
