User_Id,Meal_Id,Rated,Liked,Searched,Purchased,Timestamp
User_19,meal_id3,1,0,0,0,2020-03-01 12:03:24
User_69,meal_id7,0,1,0,0,2020-03-04 00:20:24
User_20,meal_id9,1,0,0,1,2020-03-05 14:31:10
User_96,meal_id10,0,0,1,1,2020-03-05 22:33:26
User_63,meal_id20,0,0,1,1,2020-03-07 06:42:30
User_63,meal_id21,0,1,0,1,2020-03-07 14:44:46
User_91,meal_id28,0,1,0,1,2020-03-09 10:57:14
User_31,meal_id29,1,0,0,1,2020-03-09 16:58:56
User_25,meal_id30,0,0,1,0,2020-03-10 01:01:12
User_89,meal_id24,1,0,0,1,2020-03-12 21:20:28
User_29,meal_id34,0,0,1,1,2020-03-17 11:51:38
User_37,meal_id43,1,0,0,1,2020-03-17 17:53:20
User_70,meal_id46,0,0,1,0,2020-03-18 07:57:18
User_72,meal_id47,1,0,0,1,2020-03-18 13:59:00
User_25,meal_id50,1,0,0,1,2020-03-18 20:00:42
User_49,meal_id51,0,1,0,0,2020-03-19 16:06:22
User_94,meal_id6,0,0,1,0,2020-03-21 04:16:34
User_26,meal_id53,1,0,0,1,2020-03-21 12:18:50
User_81,meal_id17,0,0,1,1,2020-03-21 18:20:32
User_28,meal_id18,0,1,0,1,2020-03-21 20:21:06
User_63,meal_id19,0,1,0,1,2020-03-22 20:27:54
User_74,meal_id57,0,1,0,1,2020-03-23 10:31:52
User_46,meal_id58,0,0,1,1,2020-03-23 12:32:26
User_70,meal_id59,0,0,1,1,2020-03-23 20:34:42
User_55,meal_id66,0,0,1,1,2020-03-25 06:44:20
User_36,meal_id33,0,1,0,1,2020-03-26 04:50:34
User_82,meal_id70,0,1,0,1,2020-03-26 10:52:16
User_91,meal_id71,1,0,0,1,2020-03-28 03:03:36
User_97,meal_id73,0,0,1,1,2020-03-29 03:10:24
User_48,meal_id74,1,0,0,1,2020-03-29 05:10:58
User_1,meal_id122,1,1,0,0,2025-01-08 03:23:28
User_1,meal_id84,0,0,1,0,2025-01-09 02:30:34
User_1,meal_id193,0,0,0,0,2025-01-09 18:10:27
User_1,meal_id209,1,1,0,0,2025-01-09 07:37:22
User_1,meal_id237,1,0,0,1,2025-01-08 16:51:27
User_1,meal_id301,0,1,0,1,2025-01-26 05:52:36
User_1,meal_id119,1,0,1,1,2025-01-06 13:30:54
User_1,meal_id62,0,1,0,1,2025-01-04 02:20:16
User_1,meal_id64,0,1,0,0,2025-01-19 05:32:54
User_2,meal_id153,1,0,0,0,2025-01-10 14:06:27
User_2,meal_id67,0,0,0,1,2025-01-25 22:18:29
User_2,meal_id187,0,1,1,0,2025-01-15 20:29:42
User_2,meal_id152,1,0,1,1,2025-01-08 01:06:56
User_2,meal_id118,1,1,0,1,2025-01-19 04:00:03
User_2,meal_id91,1,0,1,0,2025-01-04 18:27:08
User_2,meal_id199,0,1,1,1,2025-01-07 07:41:07
User_2,meal_id237,0,1,1,0,2025-01-19 18:38:19
User_3,meal_id231,0,1,0,1,2025-01-02 06:32:47
User_3,meal_id233,1,1,0,0,2025-01-11 07:13:25
User_3,meal_id227,1,0,0,1,2025-01-10 23:57:04
User_3,meal_id129,0,0,0,1,2025-01-08 20:26:11
User_3,meal_id132,1,0,1,0,2025-01-26 05:58:34
User_3,meal_id171,0,1,0,0,2025-01-10 12:38:36
User_4,meal_id13,1,0,0,1,2025-01-01 17:27:31
User_4,meal_id132,1,0,0,1,2025-01-08 09:02:24
User_4,meal_id45,0,1,1,0,2025-01-18 00:04:41
User_4,meal_id180,1,0,1,1,2025-01-25 19:44:31
User_4,meal_id246,1,1,0,0,2025-01-09 06:35:29
User_4,meal_id121,1,0,1,0,2025-01-26 01:20:46
User_4,meal_id103,0,1,0,0,2025-01-16 10:27:08
User_4,meal_id148,1,1,0,0,2025-01-26 17:30:20
User_4,meal_id246,0,0,1,1,2025-01-09 19:30:10
User_5,meal_id151,1,0,1,1,2025-01-19 07:51:22
User_5,meal_id129,1,1,0,1,2025-01-26 18:33:41
User_5,meal_id211,1,0,1,0,2025-01-16 11:49:54
User_5,meal_id293,1,0,0,0,2025-01-05 15:12:45
User_5,meal_id157,1,1,1,0,2025-01-12 15:33:26
User_5,meal_id86,0,1,1,0,2025-01-18 04:51:02
User_5,meal_id51,1,1,1,0,2025-01-03 14:46:13
User_5,meal_id238,0,0,0,0,2025-01-13 14:23:50
User_5,meal_id275,0,1,0,1,2025-01-20 06:44:07
User_5,meal_id67,1,1,1,1,2025-01-26 17:02:25
User_6,meal_id57,1,0,1,1,2025-01-22 05:42:59
User_6,meal_id180,0,0,0,1,2025-01-04 10:47:37
User_6,meal_id172,0,0,1,1,2025-01-11 08:02:18
User_6,meal_id77,1,1,1,1,2025-01-26 17:28:32
User_6,meal_id252,1,0,1,0,2025-01-19 15:24:19
User_6,meal_id74,0,1,0,0,2025-01-11 03:54:13
User_6,meal_id304,1,1,0,0,2025-01-22 10:24:10
User_6,meal_id15,1,0,1,0,2025-01-21 17:40:18
User_6,meal_id14,0,0,1,0,2025-01-24 07:12:27
User_6,meal_id14,0,1,1,0,2025-01-20 07:19:55
User_6,meal_id212,0,1,0,1,2025-01-09 03:54:45
User_6,meal_id254,1,1,1,1,2025-01-14 23:23:58
User_6,meal_id88,1,1,0,0,2025-01-10 05:36:24
User_7,meal_id186,1,1,0,0,2025-01-10 14:45:57
User_7,meal_id261,1,1,0,0,2025-01-10 16:23:54
User_7,meal_id287,0,0,0,0,2025-01-12 14:51:41
User_7,meal_id279,1,0,1,1,2025-01-26 16:46:54
User_7,meal_id143,0,1,0,1,2025-01-26 06:13:04
User_7,meal_id299,0,0,1,1,2025-01-02 02:05:33
User_7,meal_id219,1,0,1,0,2025-01-04 10:30:45
User_8,meal_id91,0,0,1,1,2025-01-19 18:50:14
User_8,meal_id5,1,0,1,0,2025-01-11 18:23:00
User_8,meal_id296,1,1,0,1,2025-01-02 02:45:25
User_8,meal_id23,1,0,1,0,2025-01-19 02:05:09
User_8,meal_id271,0,1,1,0,2025-01-19 23:28:54
User_8,meal_id81,0,1,1,0,2025-01-03 09:26:19
User_8,meal_id170,0,1,1,1,2025-01-12 01:12:37
User_8,meal_id7,0,1,1,0,2025-01-11 00:52:07
User_8,meal_id249,0,1,1,0,2025-01-04 04:28:09
User_8,meal_id125,0,0,0,0,2025-01-13 00:31:23
User_8,meal_id218,0,1,0,1,2025-01-19 16:27:47
User_8,meal_id121,1,1,1,1,2025-01-15 06:21:18
User_8,meal_id256,1,1,1,1,2025-01-03 20:28:17
User_9,meal_id293,1,0,0,1,2025-01-05 13:32:08
User_9,meal_id53,0,0,0,0,2025-01-08 08:01:44
User_9,meal_id277,0,0,1,1,2025-01-11 03:43:41
User_9,meal_id140,0,0,1,1,2025-01-21 02:43:05
User_9,meal_id40,1,0,0,0,2025-01-17 18:01:01
User_9,meal_id128,0,1,0,1,2025-01-21 02:38:53
User_9,meal_id209,1,1,0,0,2025-01-12 12:04:25
User_9,meal_id77,0,0,0,1,2025-01-16 09:28:33
User_9,meal_id130,1,0,1,1,2025-01-15 03:11:55
User_9,meal_id68,1,1,1,0,2025-01-13 05:59:25
User_9,meal_id134,0,0,0,1,2025-01-06 04:13:03
User_10,meal_id276,1,1,0,0,2025-01-04 06:22:06
User_10,meal_id73,1,1,1,1,2025-01-06 09:34:08
User_10,meal_id69,1,0,1,0,2025-01-02 18:23:32
User_10,meal_id109,0,1,0,0,2025-01-17 16:26:15
User_10,meal_id168,1,0,0,0,2025-01-04 03:51:51
User_10,meal_id18,1,0,1,0,2025-01-10 08:07:53
User_10,meal_id244,1,0,0,0,2025-01-01 13:19:15
User_10,meal_id221,1,1,1,0,2025-01-16 13:14:28
User_11,meal_id24,0,1,1,1,2025-01-16 08:29:27
User_11,meal_id25,0,1,1,0,2025-01-20 21:28:11
User_11,meal_id128,0,0,1,1,2025-01-12 04:08:47
User_11,meal_id254,1,0,1,0,2025-01-16 03:12:01
User_11,meal_id175,1,0,0,1,2025-01-09 20:22:54
User_11,meal_id223,1,1,1,1,2025-01-22 10:17:22
User_11,meal_id238,0,0,1,0,2025-01-19 05:44:24
User_11,meal_id271,1,1,0,1,2025-01-01 04:20:15
User_11,meal_id268,0,0,0,0,2025-01-23 00:51:40
User_11,meal_id273,1,0,1,0,2025-01-01 04:02:15
User_12,meal_id178,1,1,0,1,2025-01-07 18:51:47
User_12,meal_id143,1,0,1,0,2025-01-10 04:30:38
User_12,meal_id88,1,0,1,1,2025-01-02 07:24:32
User_12,meal_id159,0,0,1,0,2025-01-07 04:29:37
User_12,meal_id163,0,0,0,0,2025-01-21 09:13:37
User_12,meal_id309,1,1,1,0,2025-01-12 20:59:51
User_12,meal_id241,0,0,0,0,2025-01-05 15:42:39
User_12,meal_id220,0,0,0,0,2025-01-17 05:55:31
User_12,meal_id277,1,1,1,1,2025-01-19 03:44:20
User_12,meal_id46,1,1,0,0,2025-01-14 04:32:46
User_13,meal_id79,1,0,1,1,2025-01-07 12:24:57
User_13,meal_id185,0,1,1,0,2025-01-04 19:54:55
User_13,meal_id183,1,1,1,1,2025-01-03 12:42:38
User_13,meal_id32,0,0,1,0,2025-01-15 20:24:14
User_13,meal_id83,1,1,0,0,2025-01-21 20:36:30
User_13,meal_id148,0,0,1,0,2025-01-17 20:26:58
User_13,meal_id77,0,1,0,0,2025-01-13 23:55:27
User_13,meal_id225,0,1,0,0,2025-01-01 05:44:54
User_13,meal_id266,1,1,0,0,2025-01-09 09:35:59
User_14,meal_id196,1,0,0,0,2025-01-17 04:19:30
